7553.7451 	WARNING 	Movie2 stim could not be imported and won't be available
8289.0609 	Level injecting via pump at address 1 	25
8291.0759 	DATA 	Keypress: 5
8291.0763 	DATA 	Keypress: 5
8291.0766 	DATA 	Keypress: 5
8295.0787 	DATA 	Keypress: 5
8295.0791 	DATA 	Keypress: 5
8295.0795 	DATA 	Keypress: 5
8295.0799 	DATA 	Keypress: 5
8297.0625 	DATA 	Keypress: 5
8297.0654 	DATA 	Keypress: 5
8297.0849 	Level Condition: 2 	25
8297.0884 	Level image=tampico.jpg 	25
8299.0607 	Level injecting via pump at address 1 	25
8301.0761 	DATA 	Keypress: 5
8301.0765 	DATA 	Keypress: 5
8301.0794 	DATA 	Keypress: 5
8305.0789 	DATA 	Keypress: 5
8305.0809 	DATA 	Keypress: 5
8305.0813 	DATA 	Keypress: 5
8307.0626 	DATA 	Keypress: 5
8307.0630 	DATA 	Keypress: 5
8307.0730 	Level Condition: 0 	25
8307.0784 	Level image=bottled_water.jpg 	25
8309.0606 	Level injecting via pump at address 0 	25
8311.0755 	DATA 	Keypress: 5
8311.0759 	DATA 	Keypress: 5
8311.0762 	DATA 	Keypress: 5
8311.0767 	DATA 	Keypress: 5
8315.0836 	DATA 	Keypress: 5
8315.0944 	DATA 	Keypress: 5
8315.0949 	DATA 	Keypress: 5
8317.0629 	DATA 	Keypress: 5
8317.0633 	DATA 	Keypress: 5
8317.0813 	Level Condition: 2 	25
8317.0850 	Level image=tampico.jpg 	25
8319.0606 	Level injecting via pump at address 1 	25
8321.0756 	DATA 	Keypress: 5
8321.0760 	DATA 	Keypress: 5
8321.0765 	DATA 	Keypress: 5
8325.0787 	DATA 	Keypress: 5
8325.0791 	DATA 	Keypress: 5
8325.0795 	DATA 	Keypress: 5
8325.0825 	DATA 	Keypress: 5
8327.0628 	DATA 	Keypress: 5
